Data;Importo;Tipo;Nome
01/01/2021;486;Assicurazioni;Silvio
02/01/2021;309;Rappressentanza;Mario
03/01/2021;201;Ristorante;Marisa
04/01/2021;536;Hotel;Teresa
05/01/2021;354;Viaggio;Daniele
06/01/2021;444;Assicurazioni;Filippo
07/01/2021;74;Rappressentanza;Angela
08/01/2021;138;Ristorante;Silvio
09/01/2021;231;Hotel;Mario
10/01/2021;111;Viaggio;Marisa
11/01/2021;200;Hotel;Mario
12/01/2021;123;Viaggio;Marisa
13/01/2021;12;Assicurazioni;Mario
14/01/2021;434;Assicurazioni;Silvio
15/01/2021;500;Viaggio;Filippo
